Character	Pinyin	Tone	Meaning	Story
丸	wán	2	Pill	A round pill asks "Wan? Why swallow me?" questioning curiously!
卜	bǔ	3	Divination	The divination stick bends down drooping as it says "Bu"!
占	zhàn	4	to tell fortunes	Your mouth commands the divination sharply "Zhan! Tell my fortune!"
上	shàng	4	above	Above the line, an arrow yells "Shang!" pointing up sharply!
下	xià	4	below	Below the line, an arrow commands "Xia!" pointing down sharply!
卡	kǎ	3	Card	A card bends and dips between above and below saying "Ka"!
卓	zhuó	2	eminent	An eminent person stands above, questioning "Zhuo? Am I tall enough?" curiously!
朝	cháo	2	Dynasty	The dynasty sun and moon question "Chao? Why our reign?" curiously!
嘲	cháo	2	to ridicule	The mouth ridicules, questioning "Chao? You call that a dynasty?" mockingly!
只	zhǐ	3	only	Only one mouth bends down drooping saying "Zhi" alone!
貝	bèi	4	Shellfish	The shellfish commands sharply "Bay!" inside its shell!
貼	tiē	1	to paste	Paste shellfish happily singing "Tieh!" as they stick!
貞	zhēn	1	chaste	A chaste shellfish sings "Zhen!" cheerfully and purely!
員	yuán	2	Employee	Your employee shellfish asks "Yuan? Where's my paycheck?" questioning!
見	jiàn	4	to see	Eyes on legs command "Jian! See this!" sharply!
元	yuán	2	Beginning	At the beginning, two legs question "Yuan? Why start here?" curiously!
頁	yè	4	Page	The page head yells "Yeh!" sharply when turned!
頑	wán	2	stubborn	A stubborn head questions "Wan? Why should I?" refusing to budge!
凡	fán	2	ordinary	An ordinary table sighs "Fan? Why so plain?" questioning its fate!
肌	jī	1	Muscle	Muscles sing "Jee!" cheerfully when flexing happily!
負	fù	4	defeated	Defeated with a shell burden, you yell "Fu!" angrily!
勻	yún	2	uniform	Uniform division asks "Yun? Why equal?" questioning the balance!
句	jù	4	Sentence	A sentence in your mouth commands "Ju!" sharply at the end!
旬	xún	2	Decameron	Ten days question "Shun? Already a decameron?" asking where time went!
勺	sháo	2	Ladle	The ladle asks "Shao? Why scoop this?" questioning curiously!
的	de	5	Bull's Eye	The white ladle hits the bull's eye, saying "duh" neutrally!
首	shǒu	3	Heads	The head bends down drooping on the neck saying "Sho"!
直	zhí	2	straight	A straight eye questions "Zhi? Why so direct?" curiously!
置	zhì	4	to set up	Set up the net straight, commanding "Zhi!" sharply in place!
具	jù	4	Tool	The tool with eyes commands "Ju!" sharply to be used!
真	zhēn	1	true	Ten eyes sing "Zhen!" happily seeing the truth!
工	gōng	1	the Work	The work sings "Gong!" cheerfully as beams hold high!
左	zuǒ	3	Left	Left hand with work bends down drooping saying "Zuo"!
右	yòu	4	Right	Right hand with mouth yells "Yo!" sharply pointing right!
有	yǒu	3	to possess	To possess the moon with your right hand, it bends drooping saying "Yo"!
賄	huì	4	bribe	A bribe of shellfish yells "Hway!" sharply with each corrupt hand!
貢	gòng	4	Tribute	Tribute of work and shellfish commands "Gong!" sharply to the emperor!
項	xiàng	4	Item	The item page of your head yells "Shyang!" sharply!
刀	dāo	1	Sword	The sword sings "Dao!" cheerfully and high when drawn!
刃	rèn	4	Blade	A dot on the blade yells "Ren!" sharply at the edge!
切	qiè	4	to cut	Cut with one sword, commanding "Chieh!" sharply!
召	zhào	4	to summon	Summon with your mouth and sword, yelling "Zhao!" sharply!
昭	zhāo	1	evident	The evident sun sings "Zhao!" cheerfully making everything clear!
則	zé	2	Rule	The rule with shellfish and sword questions "Zeh? Why obey?" curiously!
副	fù	4	vice-	The vice stands beside with a sword, commanding "Fu!" sharply!
丁	dīng	1	fourth	The fourth nail sings "Ding!" cheerfully and high when hammered!
叮	dīng	1	to sting	A mouth sting like a nail sings "Ding!" happily biting!
可	kě	3	can	You can use your mouth bent down drooping saying "Kuh"!
哥	gē	1	Older Brother	Older brother with two mouths sings "Guh!" cheerfully and high!
頂	dǐng	3	crest	The crest of the head bends down drooping at the top saying "Ding"!
乙	yǐ	3	second	Second place bends down drooping like a hook saying "Yee"!
子	zǐ	3	child	The child bends down drooping saying "Zi" with bent posture!
孔	kǒng	3	cavity	A cavity child bends down drooping in the hole saying "Kong"!
吼	hǒu	3	to roar	To roar from your mouth bends down drooping saying "Ho!"
了	le	5	-ed	Completed action of child says "luh" neutrally when done!
女	nǚ	3	Woman	A woman bends down drooping gracefully saying "Nyu"!
好	hǎo	3	good	A woman and child bend down drooping together, good and saying "Hao"!
如	rú	2	to be like	A woman's mouth asks "Ru? Are we alike?" questioning similarity!
母	mǔ	3	Mother	Mother bends down drooping with two dots for breasts saying "Mu"!
貫	guàn	4	to pierce	Pierce through the shell sharply commanding "Guan!" with mother above!
兄	xiōng	1	Elder Brother	Elder brother stands tall, cheerfully singing "Shyong!" high and proud!
克	kè	4	to overcome	To overcome with ten mouths yelling "Kuh!" sharply!
小	xiǎo	3	small	Small person bends down drooping low saying "Shyao"!
少	shǎo	3	few	Few strokes bend down drooping small saying "Shao"!
吵	chǎo	3	noisy	A noisy mouth bends down drooping, shouting "Chao" with few words!
大	dà	4	large	Large person spreads arms, yelling "Da!" sharply and wide!
尖	jiān	1	tip	The tip where small meets large sings "Jian!" cheerfully and sharp!
夕	xī	1	Evening	Evening moon sings "Shee!" happily and high in the sky!
多	duō	2	many	Many evenings ask "Duo? Why so many nights?" questioning curiously!
夠	gòu	4	enough	Evening sentence commands "Go!" sharply when it's enough!
外	wài	4	outside	Outside the evening divination yells "Why!" sharply beyond!
名	míng	2	a Name	A name in the evening mouth questions "Ming? Who am I?" curiously!
厚	hòu	4	thick	Thick cliff of day and child commands "Ho!" sharply and solid!
石	shí	2	stone	A stone at the cliff asks "Shi? How hard?" questioning curiously!
砂	shā	1	Gravel	Gravel stones sing "Sha!" cheerfully scattered few and small!
妙	miào	4	wonderful	A wonderful woman commands "Miao!" sharply with small joy!
肖	xiào	4	to resemble	To resemble small flesh yells "Shyao!" sharply alike!
削	xiāo	1	to peel	To peel with knife singing "Shyao!" happily removing small bits!
光	guāng	1	ray	A ray of fire on legs sings "Gwang!" cheerfully bright!
太	tài	4	overly	Overly large with a dot yells "Tai!" sharply too much!
省	shěng	3	to economize	To economize, the eye bends down drooping, saying "Sheng" to save!
奇	qí	2	strange	A strange large person questions "Chi? Why so odd?" curiously!
川	chuān	1	Stream	A stream flows cheerfully singing "Chuan!" in three happy channels!
州	zhōu	1	a state	A state with stream and dots sings "Joe!" cheerfully united!
順	shùn	4	to obey	To obey, the stream flows by the page, commanding "Shun!" sharply!
水	shuǐ	3	Water	Water bends down drooping in streams saying "Shway"!
永	yǒng	3	Eternity	Eternity of water bends down drooping forever saying "Yong"!
求	qiú	2	to request	To request with water drop asks "Chyo? May I have some?" questioning!
泉	quán	2	a Spring	A spring of white water questions "Chuan? Where does it come from?" curiously!
原	yuán	2	flatlands	Flatlands with cliff spring and white question "Yuan? Why so flat?" curiously!
願	yuàn	4	a wish	A wish from flatlands page commands "Yuan! Grant it!" sharply!
沖	chōng	1	to wash away	To wash away, water sings "Chong!" cheerfully rinsing middle!
泳	yǒng	3	to swim	To swim in eternal water bends down drooping saying "Yong"!
洲	zhōu	1	Continent	A continent with water and state sings "Joe!" cheerfully and large!
沼	zhǎo	3	Marsh	A marsh where water bends down drooping in summoned pools saying "Zhao"!
沙	shā	1	Sand	Sand in water sings "Sha!" cheerfully and few like gravel!
江	jiāng	1	Yangtze	The Yangtze water flows cheerfully singing "Jiang!" through the work!
汁	zhī	1	Juice	Juice from water ten sings "Zhi!" happily extracted!
潮	cháo	2	Tide	The tide of dynasty water questions "Chao? Why rise and fall?" curiously!
源	yuán	2	source	The source of water flatlands questions "Yuan? Where does it begin?" curiously!
活	huó	2	lively	Lively water tongue asks "Huo? Why so active?" questioning vibrantly!
消	xiāo	1	to extinguish	To extinguish water moon sings "Shyao!" cheerfully fading away!
況	kuàng	4	Situation	The situation of water mouth yells "Kwang!" sharply describing!
河	hé	2	river	The river water questions "Huh? Why flow here?" curiously with mouth!
湖	hú	2	lake	A lake of water questions "Who? Hu?" curiously like reckless whiskers!
測	cè	4	to fathom	To fathom water rules, commanding "Tsuh!" sharply measuring!
土	tǔ	3	Soil	Soil bends down drooping in the ground saying "Too"!
均	jūn	1	to equal	To equal, soil sings "June!" cheerfully divided evenly!
肚	dù	5	belly	A belly of flesh and soil says "doo" neutrally round!
填	tián	2	to fill in	To fill in real fields of soil questions "Tian? Why complete?" curiously!
吐	tǔ	3	to spit	To spit from mouth and soil bends down drooping saying "Too"!
哇	wā	1	Waaah!	"Waaah!" cries the mouth happily singing "Wa!" high and loud!
寸	cùn	4	Chinese Inch	A Chinese inch hand measures, commanding "Tsun!" sharply and small!
封	fēng	1	to seal	To seal with earth and inch sings "Fung!" cheerfully shut!
寺	sì	4	Buddhist Temple	Buddhist temple with earth and inch commands "Sih!" sharply in prayer!
時	shí	2	Time	Time at temple with sun questions "Shi? What hour?" curiously!
火	huǒ	3	Fire	Fire bends down drooping and flickering saying "Huo"!
灰	huī	1	ashes	Ashes under fire sing "Hway!" cheerfully scattered!
煩	fán	2	vexed	Vexed with page fire questions "Fan? Why so troubled?" sighing!
炎	yán	2	Inflammation	Inflammation of two fires questions "Yan? Why so hot?" burning curiously!
淡	dàn	4	thin (watery/bland)	Thin water flames yell "Dan!" sharply weakened!
災	zāi	1	Disaster	Disaster with river under fire sings "Zai!" sadly but high!
照	zhào	4	to illuminate	To illuminate, summon fire commands "Zhao!" sharply shining!
魚	yú	2	a Fish	A fish with fire tail questions "Yu? Why swim?" curiously!
漁	yú	2	Fishing	Fishing for water fish questions "Yu? Where are they?" asking curiously!
堯	yáo	2	Yáo	Emperor Yao on high earth questions "Yao? How lofty?" curiously!
燒	shāo	1	Fever	Fever fire burns Yao high, singing "Shao!" cheerfully hot!
曉	xiǎo	3	Dawn	Dawn sun bends down drooping like Yao saying "Shyao"!
里	lǐ	3	a Li	A li of field and soil bends down drooping saying "Lee"!
量	liàng	4	quantity	Quantity of sun under li yells "Lyang!" sharply measuring!
埋	mái	2	to bury	To bury soil in li questions "Mai? Why underground?" curiously!
黑	hēi	1	black	Black fire and soil sing "Hay!" darkly but high!
點	diǎn	3	Spot	A spot of black divination bends down drooping saying "Dian"!
墨	mò	4	Black Ink	Black ink soil commands "Mwoh!" sharply and dark!
冒	mào	4	to risk	To risk with sun eye covered yells "Mao!" sharply daring!
同	tóng	2	same	The same mouth inside questions "Tong? Are we alike?" curiously!
洞	dòng	4	cave	A cave of water same commands "Dong!" sharply echoing!
向	xiàng	4	orientation	Orientation of mouth in house yells "Shyang!" sharply pointing!
尚	shàng	4	to esteem	To esteem small mouth house commands "Shang!" sharply valuing!
字	zì	4	character	A character child in house yells "Zi!" sharply written!
守	shǒu	3	to guard	To guard house with inch bends down drooping saying "Sho"!
完	wán	2	to finish	To finish beginning in house questions "Wan? Is it done?" curiously!
實	shí	2	reality	Reality pierces through house roof, questioning "Shi? Is it real?" curiously!
宣	xuān	1	to proclaim	To proclaim in house sings "Shuan!" cheerfully announcing!
宵	xiāo	1	Nighttime	Nighttime house evening sings "Shyao!" happily dark!
安	ān	1	peaceful	A peaceful woman in house sings "An!" cheerfully and calm!
宴	yàn	4	Banquet	A banquet house with sun women yells "Yan!" sharply feasting!
寄	jì	4	to mail	To mail peculiar things from house commands "Ji!" sharply sending!
富	fù	4	wealthy	A wealthy house with field above commands "Fu!" sharply abundant!
貯	zhù	4	to store up	To store up master shellfish in house yells "Zhu!" sharply saving!
木	mù	4	Tree	A tree stands tall, commanding "Moo!" sharply with branches!
林	lín	2	Woods	Woods of two trees question "Lin? Why so many?" curiously!
森	sēn	1	Forest	A forest of three trees sings "Sen!" cheerfully dense!
植	zhí	2	to plant	To plant trees straight questions "Zhi? Where to grow?" curiously!
杏	xìng	4	Apricot	An apricot tree mouth commands "Shing!" sharply ripening!
呆	dāi	1	dim-witted	A dim-witted person with wood mouth sings "Dai!" stupidly happy!
枯	kū	1	withered	A withered tree with ancient wood sings "Koo!" sadly high!
村	cūn	1	Village	A village of trees and inches sings "Tsun!" cheerfully together!
相	xiāng	1	one another	One another with tree and eye sings "Shyang!" happily seeing each other!
本	běn	3	notebook	A notebook tree root bends down drooping saying "Ben"!
案	àn	4	legal case	A legal case at the tree table commands "An!" sharply in judgment!
未	wèi	4	not yet	Not yet finished tree yells "Way!" sharply incomplete!
末	mò	4	Last	Last branch of tree commands "Mwoh!" sharply at the end!
沫	mò	4	Foam	Foam water at last yells "Mwoh!" sharply bubbling!
味	wèi	4	Flavor	Flavor of mouth not yet commands "Way!" sharply tasting!
妹	mèi	4	younger sister	Younger sister woman not yet yells "May!" sharply young!
查	chá	2	to investigate	To investigate tree at dawn questions "Cha? What happened?" curiously!
渣	zhā	1	sediment	Sediment water investigated sings "Zha!" cheerfully settling!
染	rǎn	3	to dye	To dye water with nine trees bends down drooping saying "Ran"!
李	lǐ	3	Plum	A plum tree child bends down drooping saying "Lee"!
桌	zhuō	1	Table	A table tree卓 sings "Zhuo!" cheerfully high and eminent!
若	ruò	4	as if	As if grass with right hand commands "Ruo!" sharply comparing!
草	cǎo	3	grass	Grass with early heads bends down drooping saying "Tsao"!
苦	kǔ	3	Suffering	Suffering grass and ancient bend down drooping saying "Koo"!
寬	kuān	1	wide	Wide grass house sings "Kuan!" cheerfully spacious!
葉	yè	4	Leaf	A leaf of grass and tree page commands "Yeh!" sharply falling!
莫	mò	4	nobody	Nobody in grass sunset commands "Mwoh!" sharply absent!
模	mó	2	to imitate	To imitate nobody with tree questions "Mwo? How to copy?" curiously!
漠	mò	4	Desert	A desert of water and nobody yells "Mwoh!" sharply empty!
墓	mù	4	a Grave	A grave with soil and nobody commands "Moo!" sharply buried!
苗	miáo	2	Seedling	A seedling grass field questions "Miao? Will it grow?" curiously!
瞄	miáo	2	to aim	To aim eye at seedling questions "Miao? Is that the target?" curiously!
兆	zhào	4	Portent	A portent divination commands "Zhao!" sharply foretelling!
桃	táo	2	peach	A peach tree portent questions "Tao? When ripe?" curiously!
犬	quǎn	3	Pooch	A pooch dog bends down drooping saying "Chuan"!
尤	yóu	2	remarkable	Remarkable outstanding person questions "Yo? Really?" curiously!
默	mò	4	silence	Silence of black dog commands "Mwoh!" sharply quiet!
然	rán	2	sort of thing	Sort of thing with flesh fire questions "Ran? Is it so?" curiously!
哭	kū	1	to cry	To cry with two dogs mouth sings "Koo!" sadly high!
器	qì	4	Utensil	A utensil of four dogs and one mouth yells "Chi!" sharply used!
臭	chòu	4	stinking	Stinking nose and dog command "Cho!" sharply smelly!
狗	gǒu	3	Dog	A dog pooch bends down drooping saying "Go"!
厭	yàn	4	to detest	To detest detested dog cliff yells "Yan!" sharply hating!
壓	yā	1	pressure	Pressure of cliff dog singing "Ya!" happily squashing!
牛	niú	2	Cow	A cow with horns questions "Nyo? Moo?" curiously!
特	tè	4	special	A special cow at temple commands "Tuh!" sharply unique!
告	gào	4	to declare	To declare with cow mouth yells "Gao!" sharply announcing!
浩	hào	4	vast	Vast water told commands "Hao!" sharply expanding!
先	xiān	1	before	Before legs sing "Shian!" cheerfully ahead!
洗	xǐ	3	to wash	To wash before water bends down drooping saying "Shee"!
介	jiè	4	to introduce	To introduce person commands "Jieh!" sharply between!
界	jiè	4	World	The world field introduced yells "Jieh!" sharply bounded!
茶	chá	2	Tea	Tea grass people introduced question "Cha? Want some?" curiously!
會	huì	4	Meeting	A meeting with people and cloud commands "Hway!" sharply gathering!
合	hé	2	to fit	To fit person mouth together questions "Huh? Does it match?" curiously!
哈	hā	1	Ha!	"Ha!" laughs the mouth happily singing "Ha!" high and loud!
塔	tǎ	3	Pagoda	A pagoda soil fit tall bends down drooping saying "Ta"!
王	wáng	2	King	A king with three levels questions "Wang? Why rule?" curiously!
玉	yù	4	Jade	Jade king with a dot yells "Yu!" sharply precious!
球	qiú	2	Balls	Balls of jade request questions "Chyo? Play ball?" curiously!
現	xiàn	4	present	Present jade sees commands "Shian!" sharply now!
玩	wán	2	to play	To play with jade beginning questions "Wan? How fun?" curiously!
狂	kuáng	2	crazy	Crazy dog king questions "Kwang? Why mad?" curiously wild!
皇	huáng	2	Emperor	The emperor white king questions "Hwang? Why reign?" curiously!
煌	huáng	2	resplendent	Resplendent fire emperor questions "Hwang? Why shine?" curiously!
呈	chéng	2	to submit	To submit mouth king questions "Cheng? Is it ready?" curiously!
全	quán	2	whole	The whole jade roof questions "Chuan? Is it complete?" curiously!
理	lǐ	3	Logic	Logic jade in li bends down drooping saying "Lee"!
主	zhǔ	3	Lord	A lord king dot above bends down drooping saying "Zhu"!
注	zhù	4	to pour	To pour water lord commands "Zhu!" sharply flowing!
金	jīn	1	the Gold	The gold sings "Jeen!" cheerfully shining!
銅	tóng	2	Copper	Copper gold same questions "Tong? Bronze?" curiously!
釣	diào	4	to go fishin'	To go fishin' with gold hook commands "Diao!" sharply catching!
針	zhēn	1	Needle	A needle gold ten sings "Zhen!" cheerfully sharp!
釘	dīng	1	Nail	A nail gold fourth sings "Ding!" cheerfully hammering!
銘	míng	2	Inscription	An inscription gold name questions "Ming? What says?" curiously!
鎮	zhèn	4	at ease	At ease gold real commands "Zhen!" sharply calming!
道	dào	4	Way	The way of head foot commands "Dao!" sharply leading!
導	dǎo	3	to guide	To guide way inch bends down drooping saying "Dao"!
迅	xùn	4	speedy	Speedy ten walking commands "Shun!" sharply fast!
造	zào	4	to create	To create tell walk yells "Zao!" sharply making!
巡	xún	2	to patrol	To patrol walk around questions "Shun? All clear?" curiously!
逛	guàng	4	to stroll	To stroll wide walk commands "Gwang!" sharply wandering!
車	chē	1	Car	A car with wheels sings "Chuh!" cheerfully rolling!
連	lián	2	one after another	One after another car questions "Lian? Where next?" curiously!
蓮	lián	2	Lotus	A lotus grass connected questions "Lian? Why float?" curiously!
前	qián	2	in front	In front walking boat questions "Chian? Ahead?" curiously!
剪	jiǎn	3	Shears	Shears cut front bends down drooping saying "Jian"!
輸	shū	1	to transport	To transport car sing "Shoo!" cheerfully moving!
逾	yú	2	to exceed	To exceed walking beyond questions "Yu? Too far?" curiously!
各	gè	4	each	Each mouth coming down yells "Guh!" sharply separate!
格	gé	2	Pattern	A pattern tree each questions "Guh? What style?" curiously!
客	kè	4	Guest	A guest each in house commands "Kuh!" sharply visiting!
額	é	2	Forehead	Forehead page of guest questions "Uh? Why so big?" curiously!
夏	xià	4	Summer	Summer head under big feet yells "Shya!" sharply hot!
洛	luò	4	L.A.	L.A. water fall commands "Luo!" sharply in California!
落	luò	4	to fall	To fall grass water L.A. yells "Luo!" sharply dropping!
冗	rǒng	3	superfluous	Superfluous roof power bends down drooping saying "Rong"!
沉	chén	2	profound	Profound water seven questions "Chen? How deep?" curiously!
軍	jūn	1	Army	An army car sings "June!" cheerfully marching!
輝	huī	1	Radiance	Radiance car sings "Hway!" cheerfully glowing!
運	yùn	4	to carry	To carry army walk commands "Yun!" sharply moving!
冠	guān	1	Crown	A crown roof beginning king sings "Gwan!" cheerfully royal!
夢	mèng	4	a Dream	A dream grass crown evening yells "Mung!" sharply at night!
坑	kēng	1	Pit	A pit soil hollow sings "Kung!" echoing happy!
高	gāo	1	tall	Tall mouth building sings "Gao!" cheerfully high!
享	xiǎng	3	to enjoy	To enjoy tall child bends down drooping saying "Shyang"!
熟	shú	2	ripe	Ripe fire enjoy questions "Shoo? Is it done?" curiously!
亭	tíng	2	Pavilion	A pavilion tall nail questions "Ting? Rest here?" curiously!
亮	liàng	4	shining	Shining tall cap commands "Lyang!" sharply bright!
京	jīng	1	Capital	A capital tall mouth sings "Jing!" cheerfully grand!
涼	liáng	2	cool	Cool water capital questions "Lyang? Refreshing?" curiously!
景	jǐng	3	Scenery	Scenery sun capital bends down drooping saying "Jing"!
就	jiù	4	at once	At once capital dog commands "Jyo!" sharply immediately!
周	zhōu	1	Circumference	Circumference mouth inside sings "Joe!" cheerfully around!
週	zhōu	1	Week	A week walk circumference sings "Joe!" cheerfully cycling!
士	shì	4	Soldier	A soldier one ten commands "Shi!" sharply standing!
吉	jí	2	lucky	Lucky soldier mouth questions "Ji? Good fortune?" curiously!
買	mǎi	3	to buy	To buy net four bends down drooping saying "Mai"!
賣	mài	4	to sell	To sell buy shellfish commands "Mai!" sharply trading!
書	shū	1	Book	A book hand speaks cheerfully singing "Shoo!" high!
畫	huà	4	a Drawing	A drawing field commands "Hwa!" sharply with lines!
劃	huá	2	to scratch	To scratch drawing power questions "Hwa? Where cut?" curiously!
攻	gōng	1	to attack	To attack work strike sings "Gong!" cheerfully hitting!
敗	bài	4	to fail	To fail shellfish struck yells "Bai!" sharply defeated!
故	gù	4	deliberately	Deliberately ancient strike commands "Goo!" sharply on purpose!
救	jiù	4	to rescue	To rescue demand strike yells "Jyo!" sharply saving!
敬	jìng	4	to revere	To revere strike alarm commands "Jing!" sharply respecting!
敞	chǎng	3	spacious	Spacious high strike bends down drooping saying "Chang"!
言	yán	2	to say	To say words question "Yan? What speak?" curiously!
警	jǐng	3	Police	Police revere words bend down drooping saying "Jing"!
計	jì	4	a Plan	A plan words ten commands "Ji!" sharply plotting!
獄	yù	4	Prison	Prison dog words言 dog命令 yells "Yu!" sharply locked!
討	tǎo	3	to condemn	To condemn words with inch bends down drooping saying "Tao"!
訓	xùn	4	Instruction	Instruction words in river commands "Shun!" sharply teaching!
話	huà	4	the talk	The talk words tongue commands "Hwa!" sharply speaking!
詩	shī	1	Poem	A poem words at temple sings "Shi!" cheerfully rhyming!
語	yǔ	3	Language	Language words I bend down drooping saying "Yu"!
讀	dú	2	to read	To read words sell questions "Doo? What says?" curiously!
調	diào	4	Tune	A tune words week commands "Diao!" sharply singing!
談	tán	2	to discuss	To discuss words flame questions "Tan? What topic?" curiously!
這	zhè	4	this	This walk words commands "Zhuh!" sharply pointing!
式	shì	4	Style	A style work arrow commands "Shi!" sharply fashioned!
試	shì	4	Test	A test words style yells "Shi!" sharply examining!
戈	gē	1	Halberd	A halberd spear sings "Guh!" cheerfully sharp!
或	huò	4	or	Or one mouth halberd commands "Huo!" sharply choosing!
賊	zéi	2	Burglar	A burglar shellfish ten halberds questions "Zay? Stealing what?" curiously!
載	zài	4	laden	Laden car halberds commands "Zai!" sharply carrying!
鐵	tiě	3	Iron	Iron gold lost bends down drooping saying "Tieh"!
茂	mào	4	lush	Lush grass halberds command "Mao!" sharply overgrown!
成	chéng	2	to turn into	To turn into halberds question "Cheng? What become?" curiously!
城	chéng	2	City	A city earth turn into questions "Cheng? How big?" curiously!
誠	chéng	2	sincere	Sincere words turn into questions "Cheng? Really true?" curiously!
威	wēi	1	Might	Might woman halberds sing "Way!" cheerfully powerful!
滅	miè	4	to destroy	To destroy fire halberds command "Mieh!" sharply extinguishing!
咸	xián	2	everybody	Everybody halberds mouth questions "Shian? All here?" curiously!
減	jiǎn	3	to reduce	To reduce water everybody bends down drooping saying "Jian"!
單	dān	1	a List	A list two halberds sing "Dan!" cheerfully simple!
戰	zhàn	4	War	War list halberds command "Zhan!" sharply fighting!
錢	qián	2	Coin	Coin gold list questions "Chian? How much?" curiously!
淺	qiǎn	3	shallow	Shallow water list bends down drooping saying "Chian"!
賤	jiàn	4	cheap	Cheap shellfish war yells "Jian!" sharply worthless!
止	zhǐ	3	to stop	To stop foot bends down drooping saying "Zhi"!
步	bù	4	Footstep	Footsteps stop little commands "Boo!" sharply walking!
涉	shè	4	to ford	To ford water steps commands "Shuh!" sharply crossing!
頻	pín	2	repeatedly	Repeatedly steps page questions "Pin? Again?" curiously!
肯	kěn	3	to agree	To agree stop flesh bends down drooping saying "Ken"!
企	qǐ	3	to look forward to	To look forward to person stop bends down drooping saying "Chi"!
歲	suì	4	Years of Age	Years of age stop halberds small commands "Sway!" sharply aging!
武	wǔ	3	military	Military stop halberds bend down drooping saying "Woo"!
賦	fù	4	Levy	A levy martial shellfish commands "Foo!" sharply taxing!
正	zhèng	4	correct	Correct stop one commands "Zheng!" sharply right!
政	zhèng	4	Politics	Politics correct strike yells "Zheng!" sharply governing!
定	dìng	4	to settle on	To settle on house correct commands "Ding!" sharply deciding!
走	zǒu	3	to walk	To walk earth stop bends down drooping saying "Zo"!
超	chāo	1	to transcend	To transcend walk summon sings "Chao!" cheerfully exceeding!
越	yuè	4	to surpass	To surpass walk halberds commands "Yueh!" sharply beyond!
是	shì	4	to be	To be sun correct yells "Shi!" sharply existing!
題	tí	2	Topic	A topic yes page questions "Ti? What about?" curiously!
建	jiàn	4	to build	To build brush walk commands "Jian!" sharply constructing!
延	yán	2	to prolong	To prolong walk correct questions "Yan? How long?" curiously!
誕	dàn	4	Nativity	Nativity words prolong commands "Dan!" sharply birth!
楚	chǔ	3	clear	Clear tree define bends down drooping saying "Choo"!
礎	chǔ	3	Foundation	Foundation stone clear bends down drooping saying "Choo"!
衣	yī	1	Clothing	Clothing covers cheerfully singing "Yee!" high!
裡	lǐ	3	inside	Inside clothing li bends down drooping saying "Lee"!
