Traditional	Study Order	Pinyin	Meaning	Story
乙	0091	yǐ	second	The hook stands for second, whispering "Yee" softly - a vivid image to remember!
子	0092	zǐ	child	The strokes unite to show child, whispering "Zi" softly - a vivid image to remember!
孔	0093	kǒng	cavity	This character represents cavity, whispering "Kong" softly - a vivid image to remember!
吼	0094	hǒu	to roar	See how the mouth forms to roar? It whispers "Ho!" softly spoken through parted lips!
了	0095	le	-ed	Completed action of child says "luh" neutrally when done!
女	0096	nǚ	Woman	A striking symbol for woman that whispers "Nyu" softly - a vivid image to remember!
好	0097	hǎo	good	A woman and child bend down drooping together, good and saying "Hao"!
如	0098	rú	to be like	A woman's mouth asks "Ru? Are we alike?" questioning similarity!
母	0099	mǔ	Mother	A striking symbol for mother that whispers "Mu" softly - a vivid image to remember!
貫	0100	guàn	to pierce	Pierce through the shell sharply commanding "Guan!" with mother above!
兄	0101	xiōng	Elder Brother	The strokes unite to show elder brother, singing "Shyong!" cheerfully!
克	0102	kè	to overcome	Picture to overcome taking form - it shouts "Kuh!" with vivid energy!
小	0103	xiǎo	small	The person stands for small, whispering "Shyao" softly - a vivid image to remember!
少	0104	shǎo	few	Picture few taking form - it whispers "Shao" with vivid energy!
吵	0105	chǎo	noisy	The mouth takes the shape of noisy, whispering "Chao" softly!
大	0106	dà	large	Like a person, this character means large and shouts "Da!" - a vivid image to remember!
尖	0107	jiān	tip	The tip where small meets large sings "Jian!" cheerfully and sharp!
夕	0108	xī	Evening	Like a moon, this character means evening and sings "Shee!"!
多	0109	duō	many	The strokes unite to show many, asking "Duo? Why so many nights?" curiously!
夠	0110	gòu	enough	Picture enough taking form - it shouts "Go!" with vivid energy!
外	0111	wài	outside	Outside the evening divination yells "Why!" sharply beyond!
名	0112	míng	a Name	Like a mouth, this character means a name and asks "Ming? Who am I?"!
厚	0113	hòu	thick	Picture thick taking form - it shouts "Ho!" with vivid energy!
石	0114	shí	stone	A stone at the cliff asks "Shi? How hard?" questioning curiously!
砂	0115	shā	Gravel	This character represents gravel, singing "Sha!" cheerfully!
妙	0116	miào	wonderful	Picture wonderful taking form - it shouts "Miao!" with vivid energy!
肖	0117	xiào	to resemble	A striking symbol for to resemble that shouts "Shyao!" sharply!
削	0118	xiāo	to peel	She used a knife to peel the apple, removing small bits at a time.
光	0119	guāng	ray	See how the fire forms ray? It sings "Gwang!" cheerfully with flickering flames dancing high!
太	0120	tài	overly	See how the dot forms overly? It shouts "Tai!" sharply - a vivid image to remember!
省	0121	shěng	to economize	The eye stands for to economize, whispering "Sheng" softly - a vivid image to remember!
奇	0122	qí	strange	A strange large person questions "Chi? Why so odd?" curiously!
川	0123	chuān	Stream	A stream flows cheerfully singing "Chuan!" in three happy channels!
州	0124	zhōu	a state	Picture a state taking form - it sings "Joe!" with vivid energy!
順	0125	shùn	to obey	To obey, the stream flows by the page, commanding "Shun!" sharply!
水	0126	shuǐ	Water	Like water, this character means water and whispers "Shway"!
永	0127	yǒng	Eternity	Like water, this character means eternity and whispers "Yong"!
求	0128	qiú	to request	Like water, this character means to request and asks "Chyo? May I have some?"!
泉	0129	quán	a Spring	A spring of white water questions "Chuan? Where does it come from?" curiously!
原	0130	yuán	flatlands	See how the white forms flatlands? It asks "Yuan? Why so flat?" curiously!
願	0131	yuàn	a wish	An striking symbol for a wish that shouts "Yuan! Grant it!" sharply!
沖	0132	chōng	to wash away	To wash away, water sings "Chong!" cheerfully rinsing middle!
泳	0133	yǒng	to swim	See how the water forms to swim? It whispers "Yong" softly like ripples spreading across a pond!
洲	0134	zhōu	Continent	A continent with water and state sings "Joe!" cheerfully and large!
沼	0135	zhǎo	Marsh	The water stands for marsh, whispering "Zhao" softly like ripples spreading across a pond!
沙	0136	shā	Sand	The water stands for sand, singing "Sha!" cheerfully like ripples spreading across a pond!
江	0137	jiāng	Yangtze	The Yangtze water flows cheerfully singing "Jiang!" through the work!
汁	0138	zhī	Juice	"Gee!" he said, extracting juice from ten oranges using water pressure.
潮	0139	cháo	Tide	The tide of dynasty water questions "Chao? Why rise and fall?" curiously!
源	0140	yuán	source	The source of water flatlands questions "Yuan? Where does it begin?" curiously!
活	0141	huó	lively	The water and tongue unite to create lively, asking "Huo? Why so active?" curiously!
消	0142	xiāo	to extinguish	The moon faded away as dawn extinguished the night.
況	0143	kuàng	Situation	The situation of water mouth yells "Kwang!" sharply describing!
河	0144	hé	river	When the river meets the mouth, they form river, asking "Huh? Why flow here?" curiously!
湖	0145	hú	lake	A lake of water questions "Who? Hu?" curiously like reckless whiskers!
測	0146	cè	to fathom	Like water, this character means to fathom and shouts "Tsuh!"!
土	0147	tǔ	Soil	The soil takes the shape of soil, whispering "Too" softly - a vivid image to remember!
均	0148	jūn	to equal	See how the soil forms to equal? It sings "June!" cheerfully!
肚	0149	dù	belly	A belly of flesh and soil says "doo" neutrally round!
填	0150	tián	to fill in	See how the soil forms to fill in? It asks "Tian? Why complete?" curiously!
吐	0151	tǔ	to spit	With a mouth combined with soil, you get to spit - "Too" rings out softly!
哇	0152	wā	Waaah!	"Waaah!" cries the mouth happily singing "Wa!" high and loud!
寸	0153	cùn	Chinese Inch	A Chinese inch hand measures, commanding "Tsun!" sharply and small!
封	0154	fēng	to seal	See how the earth forms to seal? It sings "Fung!" cheerfully!
寺	0155	sì	Buddhist Temple	The earth stands for buddhist temple, shouting "Sih!" sharply!
時	0156	shí	Time	The sun takes the shape of time, asking "Shi? What hour?" curiously!
火	0157	huǒ	Fire	The fire stands for fire, whispering "Huo" softly with flickering flames dancing high!
灰	0158	huī	ashes	Like fire, this character means ashes and sings "Hway!" with flickering flames dancing high!
煩	0159	fán	vexed	"Ugh, fan the flames!" she sighed, vexed and troubled by all the pages.
炎	0160	yán	Inflammation	Two fires caused inflammation - "Yan, why is it so hot?" he wondered.
淡	0161	dàn	thin (watery/bland)	Thin water flames yell "Dan!" sharply weakened!
災	0162	zāi	Disaster	The river and fire unite to create disaster, singing "Zai!" cheerfully!
照	0163	zhào	to illuminate	Like fire, this character means to illuminate and shouts "Zhao!"!
魚	0164	yú	a Fish	The fire stands for a fish, asking "Yu? Why swim?" curiously!
漁	0165	yú	Fishing	"Yoo-hoo, where are the fish?" the fisherman called out across the water.
堯	0166	yáo	Yáo	Emperor Yao on high earth questions "Yao? How lofty?" curiously!
燒	0167	shāo	Fever	The fire takes the shape of fever, singing "Shao!" cheerfully!
曉	0168	xiǎo	Dawn	See how the sun forms dawn? It whispers "Shyao" softly as sunlight streams across the sky!
里	0169	lǐ	a Li	Picture a field beside soil: that's a li, whispering "Lee" softly!
量	0170	liàng	quantity	Quantity of sun under li yells "Lyang!" sharply measuring!
埋	0171	mái	to bury	The soil stands for to bury, asking "Mai? Why underground?" curiously!
黑	0172	hēi	black	When the fire meets the soil, they form black, calling out "Hēi!"!
點	0173	diǎn	Spot	The strokes unite to show spot, whispering "Dian" softly - a vivid image to remember!
墨	0174	mò	Black Ink	The soil stands for black ink, shouting "Mwoh!" sharply - a vivid image to remember!
冒	0175	mào	to risk	With an eye combined with a sun, you get to risk - "Mao!" rings out sharply!
同	0176	tóng	same	"Are we the same?" they questioned, standing together inside.
洞	0177	dòng	cave	The water stands for cave, shouting "Dong!" sharply like ripples spreading across a pond!
向	0178	xiàng	orientation	Orientation of mouth in house yells "Shyang!" sharply pointing!
尚	0179	shàng	to esteem	See how the mouth forms to esteem? It shouts "Shang!" sharply!
字	0180	zì	character	A character child in house yells "Zi!" sharply written!
守	0181	shǒu	to guard	Picture to guard taking form - it whispers "Sho" with vivid energy!
完	0182	wán	to finish	The strokes unite to show to finish, asking "Wan? Is it done?" curiously!
實	0183	shí	reality	See how the roof forms reality? It asks "Shi? Is it real?" curiously!
宣	0184	xuān	to proclaim	The herald proclaimed the announcement from inside the house.
宵	0185	xiāo	Nighttime	At nighttime in the evening, the house was dark and quiet.
安	0186	ān	peaceful	The strokes unite to show peaceful, singing "An!" cheerfully!
宴	0187	yàn	Banquet	A banquet house with sun women yells "Yan!" sharply feasting!
寄	0188	jì	to mail	Picture to mail taking form - it shouts "Ji!" with vivid energy!
富	0189	fù	wealthy	See how the field forms wealthy? It shouts "Fu!" sharply - a vivid image to remember!
貯	0190	zhù	to store up	The shellfish stands for to store up, shouting "Zhu!" sharply!
木	0191	mù	Tree	A tree stands tall, commanding "Moo!" sharply with branches!
林	0192	lín	Woods	"Lin-da, why are there so many trees?" he asked in the woods.
森	0193	sēn	Forest	The dense forest had three layers of trees stacked high.
植	0194	zhí	to plant	"Where should we plant the straight trees?" she asked curiously.
杏	0195	xìng	Apricot	An apricot tree mouth-watering and ripe, ready for picking!
呆	0196	dāi	dim-witted	A dim-witted person with wood mouth sings "Dai!" stupidly happy!
枯	0197	kū	withered	With a tree combined with a wood, you get withered - "Koo!" rings out cheerfully!
村	0198	cūn	Village	The strokes unite to show village, singing "Tsun!" cheerfully!
相	0199	xiāng	one another	The tree and eye unite to create one another, singing "Shyang!" cheerfully!
本	0200	běn	notebook	The tree takes the shape of notebook, whispering "Ben" softly!
案	0201	àn	legal case	A legal case at the tree table commands "An!" sharply in judgment!
未	0202	wèi	not yet	The tree takes the shape of not yet, shouting "Way!" sharply!
末	0203	mò	Last	The last branch at the end of the tree was bare.
沫	0204	mò	Foam	Like water, this character means foam and shouts "Mwoh!" like ripples spreading across a pond!
味	0205	wèi	Flavor	See how the mouth forms flavor? It shouts "Way!" sharply spoken through parted lips!
妹	0206	mèi	younger sister	Picture younger sister taking form - it shouts "May!" with vivid energy!
查	0207	chá	to investigate	See how the tree forms to investigate? It asks "Cha? What happened?" curiously!
渣	0208	zhā	sediment	The water stands for sediment, singing "Zha!" cheerfully like ripples spreading across a pond!
染	0209	rǎn	to dye	Like water, this character means to dye and whispers "Ran"!
李	0210	lǐ	Plum	The tree takes the shape of plum, whispering "Lee" softly - a vivid image to remember!
桌	0211	zhuō	Table	The tall table stood high and eminent in the dining room.
若	0212	ruò	as if	The grass and hand unite to create as if, shouting "Ruo!" sharply!
草	0213	cǎo	grass	See how the grass forms grass? It whispers "Tsao" softly - a vivid image to remember!
苦	0214	kǔ	Suffering	The grass stand for suffering, whispering "Koo" softly - a vivid image to remember!
寬	0215	kuān	wide	"Wow, what a spacious house!" she exclaimed at the wide grass courtyard.
葉	0216	yè	Leaf	When the grass meets the tree, they form leaf, shouting "Yeh!" sharply!
莫	0217	mò	nobody	"Nobody's here at sunset," he commanded, absent from the grass field.
模	0218	mó	to imitate	See how the tree forms to imitate? It asks "Mwo? How to copy?" curiously!
漠	0219	mò	Desert	A desert of water and nobody yells "Mwoh!" sharply empty!
墓	0220	mù	a Grave	See how the soil forms a grave? It shouts "Moo!" sharply - a vivid image to remember!
苗	0221	miáo	Seedling	A seedling grass field questions "Miao? Will it grow?" curiously!
瞄	0222	miáo	to aim	With a target combined with an eye, you get to aim - "Miao? Is that the target?" rings out curiously!
兆	0223	zhào	Portent	A striking symbol for portent that shouts "Zhao!" sharply - a vivid image to remember!
桃	0224	táo	peach	Like a tree, this character means peach and asks "Tao? When ripe?"!
犬	0225	quǎn	Pooch	This character represents pooch, whispering "Chuan" softly - a vivid image to remember!
尤	0226	yóu	remarkable	The person stands for remarkable, asking "Yo? Really?" curiously!
默	0227	mò	silence	The black dog stayed silent, quiet and still.
然	0228	rán	sort of thing	The fire takes the shape of sort of thing, asking "Ran? Is it so?" curiously!
哭	0229	kū	to cry	The mouth takes the shape of to cry, singing "Koo!" cheerfully!
器	0230	qì	Utensil	A utensil of four dogs and one mouth yells "Chi!" sharply used!
臭	0231	chòu	stinking	"Ugh, cho disgusting!" The stinking smell came from the dog's nose.
狗	0232	gǒu	Dog	Picture dog taking form - it whispers "Go" with vivid energy!
厭	0233	yàn	to detest	This character represents to detest, shouting "Yan!" sharply!
壓	0234	yā	pressure	The cliff created pressure, squashing everything below like a dog pile.
牛	0235	niú	Cow	The strokes unite to show cow, asking "Nyo? Moo?" curiously!
特	0236	tè	special	This character represents special, shouting "Tuh!" sharply - a vivid image to remember!
告	0237	gào	to declare	The mouth takes the shape of to declare, shouting "Gao!" sharply!
浩	0238	hào	vast	The water takes the shape of vast, shouting "Hao!" sharply like ripples spreading across a pond!
先	0239	xiān	before	The strokes unite to show before, singing "Shian!" cheerfully!
洗	0240	xǐ	to wash	Like water, this character means to wash and whispers "Shee"!
介	0241	jiè	to introduce	See how the person forms to introduce? It shouts "Jieh!" sharply!
界	0242	jiè	World	The world field introduced yells "Jieh!" sharply bounded!
茶	0243	chá	Tea	"Cha want some tea?" she asked, made from grass for people.
會	0244	huì	Meeting	The people stands for meeting, shouting "Hway!" sharply - a vivid image to remember!
合	0245	hé	to fit	When the mouth meets the person, they form to fit, asking "Huh? Does it match?" curiously!
哈	0246	hā	Ha!	"Ha!" laughs the mouth happily singing "Ha!" high and loud!
塔	0247	tǎ	Pagoda	Like soil, this character means pagoda and whispers "Ta" - a vivid image to remember!
王	0248	wáng	King	A king with three levels questions "Wang? Why rule?" curiously!
玉	0249	yù	Jade	The dot stands for jade, shouting "Yu!" sharply - a vivid image to remember!
球	0250	qiú	Balls	"Chyo, play ball?" he questioned, tossing jade-colored spheres.
現	0251	xiàn	present	This character represents present, shouting "Shian!" sharply!
玩	0252	wán	to play	Picture to play taking form - it asks "Wan? How fun?" with vivid energy!
狂	0253	kuáng	crazy	This character represents crazy, asking "Kwang? Why mad?" curiously!
皇	0254	huáng	Emperor	See how the white forms emperor? It asks "Hwang, why should I reign?" curiously!
煌	0255	huáng	resplendent	See how the fire forms resplendent? It asks "Hwang? Why shine?" curiously!
呈	0256	chéng	to submit	"Is it ready to submit?" the king questioned from his mouth-throne.
全	0257	quán	whole	"Is it complete?" The whole jade roof was finally done.
理	0258	lǐ	Logic	Picture logic taking form - it whispers "Lee" with vivid energy!
主	0259	zhǔ	Lord	Like a dot, this character means lord and whispers "Zhu" - a vivid image to remember!
注	0260	zhù	to pour	"Joo, watch!" he commanded, pouring water for the lord.
金	0261	jīn	the Gold	See how the gold forms the gold? It sings "Jeen!" cheerfully!
銅	0262	tóng	Copper	The gold takes the shape of copper, asking "Tong? Bronze?" curiously!
釣	0263	diào	to go fishin'	Picture gold beside a hook: that's to go fishin', shouting "Diao!" sharply!
針	0264	zhēn	Needle	The gold takes the shape of needle, singing "Zhen!" cheerfully!
釘	0265	dīng	Nail	The gold and nail unite to create nail, singing "Ding!" cheerfully!
銘	0266	míng	Inscription	The gold inscription read "Ming?" - questioning what it said.
鎮	0267	zhèn	at ease	"Jen, calm down!" The real gold helped him feel at ease.
道	0268	dào	Way	See how the foot forms way? It shouts "Dao!" sharply - a vivid image to remember!
導	0269	dǎo	to guide	Picture to guide taking form - it whispers "Dao" with vivid energy!
迅	0270	xùn	speedy	Picture speedy taking form - it shouts "Shun!" with vivid energy!
造	0271	zào	to create	The strokes unite to show to create, shouting "Zao!" sharply!
巡	0272	xún	to patrol	"Shun, all clear?" the patrol questioned, walking around the perimeter.
逛	0273	guàng	to stroll	She wandered the wide streets, strolling and shopping.
車	0274	chē	Car	The strokes unite to show car, singing "Chuh!" cheerfully - a vivid image to remember!
連	0275	lián	one after another	"Lian, where next?" One car after another questioned their route.
蓮	0276	lián	Lotus	A lotus grass connected questions "Lian? Why float?" curiously!
前	0277	qián	in front	"Are we ahead?" the boat questioned, walking in front.
剪	0278	jiǎn	Shears	This character represents shears, whispering "Jian" softly - a vivid image to remember!
輸	0279	shū	to transport	The strokes unite to show to transport, singing "Shoo!" cheerfully!
逾	0280	yú	to exceed	"Yoo, too far?" they questioned, walking beyond the limit to exceed it.
各	0281	gè	each	Like a mouth, this character means each and shouts "Guh!" spoken through parted lips!
格	0282	gé	Pattern	Like a tree, this character means pattern and asks "Guh? What style?"!
客	0283	kè	Guest	This character represents guest, shouting "Kuh!" sharply - a vivid image to remember!
額	0284	é	Forehead	"Uh, why such a big forehead?" The guest's page-sized head was surprising!
夏	0285	xià	Summer	This character represents summer, shouting "Shya!" sharply - a vivid image to remember!
洛	0286	luò	L.A.	Like water, this character means l.a. and shouts "Luo!" like ripples spreading across a pond!
落	0287	luò	to fall	Picture grass beside water: that's to fall, shouting "Luo!" sharply!
冗	0288	rǒng	superfluous	See how the roof forms superfluous? It whispers "Rong" softly!
沉	0289	chén	profound	The water takes the shape of profound, asking "Chen? How deep?" curiously!
軍	0290	jūn	Army	This character represents army, singing "June!" cheerfully - a vivid image to remember!
輝	0291	huī	Radiance	The strokes unite to show radiance, singing "Hway!" cheerfully!
運	0292	yùn	to carry	The army walked and moved supplies, carrying everything.
冠	0293	guān	Crown	Like a roof, this character means crown and sings "Gwan!" - a vivid image to remember!
夢	0294	mèng	a Dream	Like grass, this character means a dream and shouts "Mung!"!
坑	0295	kēng	Pit	The soil takes the shape of pit, singing "Kung!" cheerfully!
高	0296	gāo	tall	"Gao!" The tall building reached high into the sky.
享	0297	xiǎng	to enjoy	A striking symbol for to enjoy that whispers "Shyang" softly!
熟	0298	shú	ripe	Like fire, this character means ripe and asks "Shoo? Is it done?"!
亭	0299	tíng	Pavilion	A pavilion tall nail questions "Ting? Rest here?" curiously!
亮	0300	liàng	shining	A striking symbol for shining that shouts "Lyang!" sharply - a vivid image to remember!
京	0301	jīng	Capital	The mouth takes the shape of capital, singing "Jing!" cheerfully!
涼	0302	liáng	cool	Like water, this character means cool and asks "Lyang? Refreshing?"!
景	0303	jǐng	Scenery	The sun stands for scenery, whispering "Jing" softly as sunlight streams across the sky!
就	0304	jiù	at once	"Jyo, do it now!" he commanded, immediately at once with the capital dog.
周	0305	zhōu	Circumference	The mouth stands for circumference, singing "Joe!" cheerfully!
週	0306	zhōu	Week	The strokes unite to show week, singing "Joe!" cheerfully - a vivid image to remember!
士	0307	shì	Soldier	The strokes unite to show soldier, shouting "Shi!" sharply - a vivid image to remember!
吉	0308	jí	lucky	The mouth stands for lucky, asking "Ji? Good fortune?" curiously!
買	0309	mǎi	to buy	A striking symbol for to buy that whispers "Mai" softly - a vivid image to remember!
賣	0310	mài	to sell	"Buy low, sell high!" She traded shellfish at market.
書	0311	shū	Book	A book hand speaks cheerfully singing "Shoo!" high!
畫	0312	huà	a Drawing	Picture a field beside lines: that's a drawing, shouting "Hwa!" sharply!
劃	0313	huá	to scratch	"Where should I cut?" she questioned, using power to scratch the drawing.
攻	0314	gōng	to attack	The workers went on strike, attacking the company with their demands.
敗	0315	bài	to fail	Like a shellfish, this character means to fail and shouts "Bai!"!
故	0316	gù	deliberately	Picture deliberately taking form - it shouts "Goo!" with vivid energy!
救	0317	jiù	to rescue	Picture to rescue taking form - it shouts "Jyo!" with vivid energy!
敬	0318	jìng	to revere	"Jing!" he commanded sharply, showing alarm and respect to revere elders.
敞	0319	chǎng	spacious	The strokes unite to show spacious, whispering "Chang" softly!
言	0320	yán	to say	This character represents to say, asking "Yan? What speak?" curiously!
警	0321	jǐng	Police	Picture police taking form - it whispers "Jing" with vivid energy!
計	0322	jì	a Plan	Picture a plan taking form - it shouts "Ji!" with vivid energy!
獄	0323	yù	Prison	This character represents prison, shouting "Yu!" sharply - a vivid image to remember!
討	0324	tǎo	to condemn	Picture to condemn taking form - it whispers "Tao" with vivid energy!
訓	0325	xùn	Instruction	"Shun, listen!" The teacher gave instructions, commanding words like a river.
話	0326	huà	the talk	"Hwa!" Her tongue spoke sharply, talking and telling stories.
詩	0327	shī	Poem	Picture poem taking form - it sings "Shi!" with vivid energy!
語	0328	yǔ	Language	Picture language taking form - it whispers "Yu" with vivid energy!
讀	0329	dú	to read	"Doo you understand what it says?" she questioned, reading the words to sell the idea.
調	0330	diào	Tune	This character represents tune, shouting "Diao!" sharply - a vivid image to remember!
談	0331	tán	to discuss	"Tan, what should we talk about?" The words flamed up in discussion.
這	0332	zhè	this	The strokes unite to show this, shouting "Zhuh!" sharply - a vivid image to remember!
式	0333	shì	Style	Like an arrow, this character means style and shouts "Shi!"!
試	0334	shì	Test	A test words style yells "Shi!" sharply examining!
戈	0335	gē	Halberd	The strokes unite to show halberd, singing "Guh!" cheerfully!
或	0336	huò	or	"Huo should I choose - or this one?" One mouth questioned the halberd choices.
賊	0337	zéi	Burglar	A burglar shellfish ten halberds questions "Zay? Stealing what?" curiously!
載	0338	zài	laden	A striking symbol for laden that shouts "Zai!" sharply - a vivid image to remember!
鐵	0339	tiě	Iron	The gold stands for iron, whispering "Tieh" softly - a vivid image to remember!
